V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,i.user1,i.user9,i.user3,Q1.1_1_TEXT,Q1.1_2_TEXT,Q1.1_3_TEXT,Q1.1_4_TEXT,Q1.1_5_TEXT,Q1.1_6_TEXT,Q1.1_7_TEXT,Q2.1,Q2.2,Q2.3,Q2.4,Q2.5,Q3.1,Q3.2,Q3.3,Q3.4,Q3.5,Q3.6,Q3.7,Q4.1,Q4.2,Q4.3,Q4.4,Q4.5,Q4.6,Q4.7,Q5.1,Q6.1,Q7.1,Q8.1,Q8.2_1,Q8.2_2,Q8.2_3,Q8.2_4,Q8.3,Q8.4,Q8.5,Q8.6,Q8.7,Q8.8,Q8.9,Q8.10,Q8.11_1,Q8.11_2,Q8.11_3,Q8.11_4,Q9.1,Q9.2_1,Q9.2_2,Q9.2_3,Q9.2_4,Q9.3,Q9.4,Q9.5,Q9.6,Q9.7,Q9.8,Q9.9,Q9.10,Q9.11_1,Q9.11_2,Q9.11_3,Q9.11_4,Q10.1,Q10.2_1,Q10.2_2,Q10.2_3,Q10.2_4,Q10.3,Q10.4,Q10.5,Q10.6,Q10.7,Q10.8,Q10.9,Q10.10,Q10.11_1,Q10.11_2,Q10.11_3,Q10.11_4,Q11.1,Q11.2_1,Q11.2_2,Q11.2_3,Q11.2_4,Q11.3,Q11.4,Q11.5,Q11.6,Q11.7,Q11.8,Q11.9,Q11.10,Q11.11_1,Q11.11_2,Q11.11_3,Q11.11_4,Q12.1,Q12.2_1,Q12.2_2,Q12.2_3,Q12.2_4,Q12.3,Q12.4,Q12.5,Q12.6,Q12.7,Q12.8,Q12.9,Q12.10,Q12.11_1,Q12.11_2,Q12.11_3,Q12.11_4,Q13.1,Q13.2_1,Q13.2_2,Q13.2_3,Q13.2_4,Q13.3,Q13.4,Q13.5,Q13.6,Q13.7,Q13.8,Q13.9,Q13.10,Q13.11_1,Q13.11_2,Q13.11_3,Q13.11_4,Q14.1,Q14.2_1,Q14.2_2,Q14.2_3,Q14.2_4,Q14.3,Q14.4,Q14.5,Q14.6,Q14.7,Q14.8,Q14.9,Q14.10,Q14.11_1,Q14.11_2,Q14.11_3,Q14.11_4,Q15.1,Q15.2_1,Q15.2_2,Q15.2_3,Q15.2_4,Q15.3,Q15.4,Q15.5,Q15.6,Q15.7,Q15.8,Q15.9,Q15.10,Q15.11_1,Q15.11_2,Q15.11_3,Q15.11_4,Q16.1,Q16.2_1,Q16.2_2,Q16.2_3,Q16.2_4,Q16.3,Q16.4,Q16.5,Q16.6,Q16.7,Q16.8,Q16.9,Q16.10,Q16.11_1,Q16.11_2,Q16.11_3,Q16.11_4,Q17.1,Q17.2_1,Q17.2_2,Q17.2_3,Q17.2_4,Q17.3,Q17.4,Q17.5,Q17.6,Q17.7,Q17.8,Q17.9,Q17.10,Q17.11_1,Q17.11_2,Q17.11_3,Q17.11_4,Q18.1,Q18.2_1,Q18.2_2,Q18.2_3,Q18.2_4,Q18.3,Q18.4,Q18.5,Q18.6,Q18.7,Q18.8,Q18.9,Q18.10,Q18.11_1,Q18.11_2,Q18.11_3,Q18.11_4,Q19.1,Q19.2_1,Q19.2_2,Q19.2_3,Q19.2_4,Q19.3,Q19.4,Q19.5,Q19.6,Q19.7,Q19.8,Q19.9,Q19.10,Q19.11_1,Q19.11_2,Q19.11_3,Q19.11_4,Q23.1,Q23.2,Q23.3,Q23.4,Q23.5,Q23.6,Q23.7_1,Q23.7_2,Q23.7_4,Q23.7_5,Q23.7_7,Q23.8,Q23.9,Q23.10,Q23.10_TEXT,Q22.1,Q22.2,Q22.3,Q22.4,Q22.5,Q22.6,Q22.7_1,Q22.7_2,Q22.7_4,Q22.7_5,Q22.7_7,Q22.8,Q22.9,Q22.10,Q22.10_TEXT,Q24.1,Q24.2_1,Q24.3,Q24.4,Q24.5,Q24.6,Q24.7,Q314,Q24.8,Q24.9,Q24.10,Q313,Q24.11,Q25.1,Q25.2,Q25.4,Q25.6,Q25.7,Q25.9,Q25.11,Q315,Q316,Q26.1,Q26.2,Q27.1,Q27.2,Q27.4,Q27.7,Q27.9,Q27.12,Q27.13,Q27.14,Q27.16,Q27.17,Q27.18,Q27.20,Q317,Q318,Q28.1,Q28.2,Q29.1,Q29.2,Q29.4,Q29.6,Q29.7,Q29.9,Q29.11,Q319,Q320,Q30.1,Q30.2_1,Q30.2_2,Q30.2_3,Q30.2_4,Q30.3,Q30.4_1,Q30.4_2,Q30.4_3,Q30.4_4,Q30.4_5,Q30.4_6,Q30.5_1,Q30.5_2,Q30.5_3,Q30.5_4,Q31.1,Q31.2_1,Q31.2_2,Q31.2_3,Q31.2_4,Q31.3,Q31.4_1,Q31.4_2,Q31.4_3,Q31.4_4,Q31.4_5,Q31.4_6,Q31.5_1,Q31.5_2,Q31.5_3,Q31.5_4,Q32.1,Q32.2_1,Q32.2_2,Q32.2_3,Q32.2_4,Q32.3,Q32.4_1,Q32.4_2,Q32.4_3,Q32.4_4,Q32.4_5,Q32.4_6,Q32.5_1,Q32.5_2,Q32.5_3,Q32.5_4,Q33.1,Q33.2_1,Q33.2_2,Q33.2_3,Q33.2_4,Q33.3,Q33.4_1,Q33.4_2,Q33.4_3,Q33.4_4,Q33.4_5,Q33.4_6,Q33.5_1,Q33.5_2,Q33.5_3,Q33.5_4,Q34.1,Q34.2_1,Q34.2_2,Q34.2_3,Q34.2_4,Q34.3,Q34.4_1,Q34.4_2,Q34.4_3,Q34.4_4,Q34.4_5,Q34.4_6,Q34.5_1,Q34.5_2,Q34.5_3,Q34.5_4,Q35.1,Q35.2_1,Q35.2_2,Q35.2_3,Q35.2_4,Q35.3,Q35.4_1,Q35.4_2,Q35.4_3,Q35.4_4,Q35.4_5,Q35.4_6,Q35.5_1,Q35.5_2,Q35.5_3,Q35.5_4,Q36.1,Q36.2_1,Q36.2_2,Q36.2_3,Q36.2_4,Q36.3,Q36.4_1,Q36.4_2,Q36.4_3,Q36.4_4,Q36.4_5,Q36.4_6,Q36.5_1,Q36.5_2,Q36.5_3,Q36.5_4,Q37.1,Q37.2_1,Q37.2_2,Q37.2_3,Q37.2_4,Q37.3,Q37.4_1,Q37.4_2,Q37.4_3,Q37.4_4,Q37.4_5,Q37.4_6,Q37.5_1,Q37.5_2,Q37.5_3,Q37.5_4,Q38.1,Q38.2_1,Q38.2_2,Q38.2_3,Q38.2_4,Q38.3,Q38.4_1,Q38.4_2,Q38.4_3,Q38.4_4,Q38.4_5,Q38.4_6,Q38.5_1,Q38.5_2,Q38.5_3,Q38.5_4,Q39.1,Q39.2_1,Q39.2_2,Q39.2_3,Q39.2_4,Q39.3,Q39.4_1,Q39.4_2,Q39.4_3,Q39.4_4,Q39.4_5,Q39.4_6,Q39.5_1,Q39.5_2,Q39.5_3,Q39.5_4,Q40.1,Q40.2_1,Q40.2_2,Q40.2_3,Q40.2_4,Q40.3,Q40.4_1,Q40.4_2,Q40.4_3,Q40.4_4,Q40.4_5,Q40.4_6,Q40.5_1,Q40.5_2,Q40.5_3,Q40.5_4,Q41.1,Q41.2_1,Q41.2_2,Q41.2_3,Q41.2_4,Q41.3,Q41.4_1,Q41.4_2,Q41.4_3,Q41.4_4,Q41.4_5,Q41.4_6,Q41.5_1,Q41.5_2,Q41.5_3,Q41.5_4,Q20.1_1,Q20.1_2,Q20.1_3,Q20.1_4,Q20.1_5,Q20.2_1,Q20.2_2,Q20.2_4,Q20.2_5,Q20.2_7,Q20.3,Q20.4,Q20.5,Q20.5_TEXT,Q42.1_1,Q42.1_2,Q42.1_3,Q42.1_4,Q42.1_5,Q42.2_1,Q42.2_2,Q42.2_4,Q42.2_5,Q42.2_7,Q42.3,Q42.4,Q42.5,Q42.5_TEXT,DO-BR-FL_346,DO-BR-FL_214,DO-BR-FL_269,DO-BR-FL_273,DO-BR-FL_291,DO-BR-FL_365,DO-BR-FL_375,DO-BR-FL_385,DO-Q-Q20.2,DO-Q-Q42.2,DO-Q-Q23.7,DO-Q-Q22.7,LocationLatitude,LocationLongitude,LocationAccuracy
R_1DCKxOHLbXEmlNj,Default Response Set,Anonymous,,,,0,28/01/2018 16:29,28/01/2018 16:36,1,,,,,,,,,,,1,1,4,4,4,,,,,,,,1,2,ביטוחים,4,3,4,המשכורת,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.073,4.073,5.119,1,1,1,4,4,5,5,4,3,10.656,42.417,43.085,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.706,1.706,2.615,1,1,1,5,5,5,5,6,6,1.717,20.516,21.159,18,,,,,,,,,,,,,,,,1,4,3,5,4,1,,1,,1,,5,5,8,9,1,22,3,1,2,3,פתח תקווה,,פתח תקווה,3,2,1,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,6,6,1,5,5,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relevance_control,POLICY PROGRAMS intro_control,,,Mobile_air c,,,,,,,2|4|1|5|7,,,
R_1nOCgUGJelQFtSl,Default Response Set,Anonymous,,,,0,28/01/2018 16:27,28/01/2018 16:37,1,,,,,,,,,,,1,1,5,4,8,,,,,,,,1,4,פנסיונר,5,6,7,X,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.843,5.607,5.643,2,1,1,3,4,4,4,4,4,16.1,44.359,45.017,19,1,15.147,16.581,17.485,2,1,1,5,5,6,5,5,5,10.412,43.264,44.335,19,,,,,,,,,,,,,,,,,,1,2,6,5,5,5,,,,,1,1,2,8,9,,,,,,,,,,,,,,,,1,71,3,5,1,3,ראשון לציון,,פתח תקוה,3,1,4,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,6,4,1,6,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relevance_control,POLICY PROGRAMS intro_control,,,Mobile_waste c,,,,,,2|1|5|4|7,,,,
R_0SNw6QJ5d1TxVHb,Default Response Set,Anonymous,,,,0,28/01/2018 16:32,28/01/2018 16:38,1,,,,,,,,,,,1,1,2,2,6,1,5,6,7,2,קרית חיים,זיהום אוויר חמור,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,59,4,3,1,,,1,קרית מוצקין,2,2,4,1,,,,,,,,,,,,1,1,4,1,4,1,1,5,4,1,6,6,1,1,1,הזיהום באזור המפרץ כל כך קשה שמרגישים כל יום שמתקדמים לעבר המוות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,11.984,0,1,4,4,4,3,3,3,4.613,15.045,16.126,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,15.408,0,1,6,6,5,5,5,5,7.13,22.601,23.523,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,7,7,1,1,,,,,7,5,8,9,,,,,,,,,,,,,,,Relevance_treatment,POLICY PROGRAMS intro_placebo,,,,,waste e,,1|4|2|5|7,,,,,,
R_12yBpseCunniMnq,Default Response Set,Anonymous,,,,0,28/01/2018 16:27,28/01/2018 16:38,1,,,,,,,,,,,1,1,5,5,9,,,,,,,,1,2,בית ספר תיכון ממלכתי,4,5,6,לימודים חינם וההעסקה של יותר מפעלים ממשלתיים,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.951,4.173,4.215,2,1,1,2,1,1,2,4,2,13.886,47.471,48.153,21,1,0.103,3.186,3.879,4,1,1,4,6,3,2,4,4,12.654,69.446,70.026,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,3,5,5,1,,,,,1,4,8,9,,,,,,,,,,,,,,,,1,18,3,1,2,2,קרית מוצקין,1,קרית ביאליק,2,1,5,1,,,,,,,,,,,,1,1,6,1,2,1,1,6,7,1,7,3,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relevance_control,POLICY PROGRAMS intro_placebo,,Mobile waste b,,,,,,,4|2|5|1|7,,,,
R_2aFtajt1IKFXzTP,Default Response Set,Anonymous,,,,0,28/01/2018 16:36,28/01/2018 16:40,1,,,,,,,,,,,1,1,4,4,4,,,,,,,,1,4,תלמיד תיכון,2,3,5,כלום,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,17,2,1,2,3,פתח תקווה,,פתח תקווה,3,1,5,1,,,,,,,,,,1,לט,,,,,,,,,,,,,,,,,1,1,4,1,1,2,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,2.728,0,1,4,4,4,4,4,4,1.685,7.413,8.649,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,3.237,0,1,4,4,4,4,4,4,2.798,7.926,8.946,6,4,4,4,4,4,,,,1,,3,4,8,9,,,,,,,,,,,,,,,Relevance_control,POLICY PROGRAMS intro_control,,,,,,waste f,5|4|1|2|7,,,,,,
R_Z8cHv3rkjhop9AJ,Default Response Set,Anonymous,,,,0,28/01/2018 16:24,28/01/2018 16:40,1,,,,,,,,,,,1,1,4,5,6,,,,,,,,1,1,מנהלת חשבונות ,7,6,7,להוציא קורסים לא יקרים שאנשים או חברה אחרי צבא יוכלו ללכת וללמוד את המקצוע  /  / ללא עלויות כמקצוע מועדף למשל ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,59,4,4,1,2,קרית מוצקין,2,חיפה,2,2,4,1,1,1,7,5,1,6,5,1,3,1,יישר כח עלה והצלח,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,81.739,0,1,5,4,4,4,5,5,27.383,72.272,73.137,6,1,0,0,34.788,0,1,6,6,6,6,6,6,15.98,57.442,58.941,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,5,6,5,1,1,,,,6,4,8,9,Relevance_control,POLICY PROGRAMS intro_symbol,,,,air d,,,,2|1|5|4|7,,,,,
R_xydXLRYjVYLLjGN,Default Response Set,Anonymous,,,,0,28/01/2018 16:30,28/01/2018 16:41,1,,,,,,,,,,,1,1,2,1,8,1,5,5,5,3,ראשון לציון ,זיהום אוויר ,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7.877,49.469,50.218,8,1,1,4,4,4,4,3,3,1.908,53.448,54.473,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8.931,68.242,69.099,20,1,1,3,4,4,5,4,4,4.8,59.445,60.527,25,1,6,3,5,5,3,1,1,,,,5,5,8,9,,,,,,,,,,,,,,,,1,30,6,1,2,,,,כפר ורדים ,5,2,5,1,,,,,,,,,,1,לא,,,,,,,,,,,,,,,,,1,1,6,6,1,6,5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relevance_treatment,POLICY PROGRAMS intro_control,,,Mobile_waste f,,,,,,2|1|5|4|7,,,,
R_2YKxOmoydAFojbs,Default Response Set,Anonymous,,,,0,28/01/2018 16:30,28/01/2018 16:41,1,,,,,,,,,,,1,1,4,3,5,,,,,,,,1,2,גננת,5,5,7,העלאה בשכר,1,,,,,,,,,,,,,,,,,,,,1,9.489,27.136,28.32,2,1,1,5,5,5,5,4,4,11.281,43.658,44.614,20,1,6.36,6.36,15.722,1,1,1,7,6,7,5,6,5,14.206,118.374,119.119,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,6,5,5,4,1,,,,,3,7,8,9,,,,,,,,,,,,,,,,1,23,5,1,1,3,פתח תקווה,,תל אביב,3,2,1,1,1,1,7,7,1,6,7,1,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relevance_control,POLICY PROGRAMS intro_symbol,Mobile_waste a,,,,,,,,2|4|1|5|7,,,,
R_1puPtLpjoTxvTKI,Default Response Set,Anonymous,,,,0,28/01/2018 16:32,28/01/2018 16:42,1,,,,,,,,,,,1,1,5,5,3,,,,,,,,1,2,?,7,7,7,?,1,,,1,4.045,5.39,6.034,2,1,1,5,6,4,6,7,5,8.915,46.044,46.961,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,1,5,7,1,5,7,6,4.58,34.795,35.299,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,4,4,6,5,,,,,1,5,7,8,9,,,,,,,,,,,,,,,,1,13,1,3,2,3,ראשון לציון,,לא התגוררתי,3,1,5,1,1,1,4,4,1,6,1,1,7,1,אין לי עיסוק ו / לימוד,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relevance_control,POLICY PROGRAMS intro_symbol,Mobile_waste d,,,,,,,,1|2|4|5|7,,,,
R_3EfM90qeT3Jwomx,Default Response Set,Anonymous,,,,0,28/01/2018 16:37,28/01/2018 16:43,1,,,,,,,,,,,1,1,4,4,4,,,,,,,,1,1,מהנדס חשמל ,6,5,4,"קידום אישי , אתגרים , סיפוק , שכר , יחסי אנוש",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,7,3,2,2,נשר,1,חיפה,1,1,1,1,1,1,4,5,1,5,5,1,5,1,החלטות מונעות מכסף ולא בריאות האוכלוסיה וחבל,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,5.569,0,1,2,3,2,2,2,2,3.162,13.466,17.559,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,5.381,0,1,3,4,4,4,4,5,13.154,34.458,35.408,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,5,6,1,1,1,,,,7,6,8,9,,,,,,,,,,,,,,,Relevance_control,POLICY PROGRAMS intro_symbol,,,,waste d,,,5|4|2|1|7,,,,,,
R_3rNRYW32sYZTSQu,Default Response Set,Anonymous,,,,0,28/01/2018 16:32,28/01/2018 16:45,1,,,,,,,,,,,1,1,5,5,3,1,5,5,7,2,"קריית חיים, חיפה",בתי זיקוק ומפעלים מזהמים רבים נוספים ,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7.707,27.478,44.82,2,1,1,4,5,6,5,5,4,6.49,65.911,67.45,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,75.527,75.527,83.205,1,1,1,4,4,5,4,3,4,51.214,75.565,76.117,25,,,,,,,,,,,,,,,,1,6,1,6,6,1,1,,1,,,5,7,8,9,1,33,7,4,1,,,2,"קרית חיים , חיפה",2,2,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,5,3,1,6,5,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relevance_treatment,POLICY PROGRAMS intro_control,,,Mobile_air c,,,,,,,4|5|2|1|7,,,
R_29nzCK2Rmb6DR6u,Default Response Set,Anonymous,,,,0,28/01/2018 16:39,28/01/2018 16:46,1,,,,,,,,,,,1,1,5,5,5,1,6,6,6,2,קרית אתא,"זיהום אויר, חוסר במתקני מיחזור",,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,0.482,1.848,5.072,2,1,1,5,5,6,6,6,6,1.377,19.593,20.456,20,1,1.723,15.376,16.427,3,1,1,5,5,6,6,5,6,9.84,53.54,54.173,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,2,5,5,5,,1,,,,6,6,8,9,,,,,,,,,,,,,,,,1,46,5,4,1,,,1,חיפה,2,1,2,1,1,1,5,7,1,5,7,1,7,1,לא,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relevance_treatment,POLICY PROGRAMS intro_symbol,Mobile_waste a,,,,,,,,2|4|5|1|7,,,,
